x,y,z,Nx,Ny,Nz,Ex,Ey,Ez,id,near
4.348334919999999553e+07,-2.995516780000000447e+07,-3.793675660000000149e+07,6.385819151070696309e-01,-4.668434305541958040e-01,-6.117763881080872101e-01,7.780936546623706818e-03,-4.241651040501892567e-04,-4.996071569621562958e-03,5.000000000000000000e+00,0.000000000000000000e+00
4.390256100000000000e+07,-2.772276939999999851e+07,-3.785011100000000000e+07,7.210921485602774794e-01,-8.078924071896191605e-03,-6.927920642375773319e-01,6.409447174519300461e-03,5.575362010858952999e-04,-3.360481001436710358e-03,6.000000000000000000e+00,0.000000000000000000e+00
4.395544030000000447e+07,-2.765905940000000224e+07,-3.779532039999999851e+07,7.211016434631285499e-01,-8.130418530041075634e-03,-6.927815789188547235e-01,6.409447174519300461e-03,5.575362010858952999e-04,-3.360481001436710358e-03,6.000000000000000000e+00,0.000000000000000000e+00
4.353686560000000149e+07,-2.801456119999999925e+07,-3.822600000000000000e+07,7.207019305688970867e-01,-6.785918177670983986e-03,-6.932118569302970768e-01,8.426326327025890350e-03,-7.764673209749162197e-04,-6.728421431034803391e-03,6.000000000000000000e+00,0.000000000000000000e+00
4.598524089999999851e+07,2.585542930000000075e+07,-3.779532039999999851e+07,9.834670831584094719e-01,1.009397939617729112e-01,-1.503451174426521653e-01,-3.906524274498224258e-03,4.933369345963001251e-04,1.317805144935846329e-03,7.000000000000000000e+00,0.000000000000000000e+00
4.598906350000000000e+07,2.559995220000000298e+07,-3.788005470000000298e+07,9.971319321292300142e-01,6.725697855491098720e-02,-3.470459283571839665e-02,-3.906524274498224258e-03,4.933369345963001251e-04,1.317805144935846329e-03,7.000000000000000000e+00,0.000000000000000000e+00
4.555838389999999851e+07,2.761446239999999851e+07,-3.822600000000000000e+07,7.000487327361510914e-01,2.855298589559382982e-01,-6.545261426704901409e-01,-6.073930766433477402e-03,-7.653599022887647152e-04,4.379873629659414291e-03,8.000000000000000000e+00,0.000000000000000000e+00
4.572402989999999851e+07,2.787121369999999925e+07,-3.779532039999999851e+07,6.710734461630529779e-01,3.949417196915516182e-01,-6.274404098413840503e-01,-5.282537080347537994e-03,-2.301332424394786358e-04,2.800986869260668755e-03,8.000000000000000000e+00,0.000000000000000000e+00
4.358464810000000149e+07,4.453137870000000298e+07,-3.822600000000000000e+07,5.684591131865587288e-01,2.503657239841629578e-01,-7.836907814240493542e-01,2.288144169142469764e-04,-3.790145638049580157e-05,1.468110713176429272e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.358974489999999851e+07,4.467472620000000298e+07,-3.814381410000000149e+07,5.766509429351783789e-01,2.554459269209400918e-01,-7.760290383944864478e-01,2.288144169142469764e-04,-3.790145638049580157e-05,1.468110713176429272e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.358974489999999851e+07,4.493848560000000149e+07,-3.814381410000000149e+07,5.833920020724253641e-01,2.261877543071381391e-01,-7.800595308817275253e-01,2.288144169142469764e-04,-3.790145638049580157e-05,1.468110713176429272e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.358974489999999851e+07,4.567815869999999553e+07,-3.814381410000000149e+07,4.822348569593775669e-01,2.515805135254071678e-01,-8.391405054862154378e-01,1.266994513571262360e-03,3.339971008244901896e-04,4.640803963411599398e-04,9.000000000000000000e+00,0.000000000000000000e+00
4.362988220000000298e+07,4.617891930000000447e+07,-3.779532039999999851e+07,7.640560286620678987e-01,5.250190444777849130e-01,-3.749311776856961154e-01,7.910912972874939442e-04,1.566265855217352509e-04,9.051007800735533237e-04,9.000000000000000000e+00,0.000000000000000000e+00
4.362988220000000298e+07,4.617891930000000447e+07,-3.743153630000000447e+07,7.292151158226966023e-01,5.615080970073308420e-01,-3.910933032549868127e-01,7.910912972874939442e-04,1.566265855217352509e-04,9.051007800735533237e-04,9.000000000000000000e+00,0.000000000000000000e+00
4.362988220000000298e+07,4.617891930000000447e+07,-3.678742820000000298e+07,6.493003376354425926e-01,6.267921839688064267e-01,-4.307442740909204759e-01,-9.003254235722124577e-04,-7.146427524276077747e-04,2.318447222933173180e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.355661570000000298e+07,4.648409019999999553e+07,-3.668230669999999553e+07,5.245687732753685495e-01,7.404981929937043406e-01,-4.201071628494730259e-01,-9.003254235722124577e-04,-7.146427524276077747e-04,2.318447222933173180e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.349226860000000149e+07,4.668222830000000447e+07,-3.662687900000000000e+07,4.345317205666177629e-01,2.878600987222671992e-01,-8.534159287153136875e-01,-9.003254235722124577e-04,-7.146427524276077747e-04,2.318447222933173180e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.349226860000000149e+07,4.669560739999999851e+07,-3.662687900000000000e+07,4.359465279275090976e-01,2.865734772346088532e-01,-8.531273450860747953e-01,-9.003254235722124577e-04,-7.146427524276077747e-04,2.318447222933173180e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.349226860000000149e+07,4.768629789999999851e+07,-3.662687900000000000e+07,4.185425469607928495e-01,2.707679206081848866e-01,-8.668949587770666820e-01,4.017766914330422878e-04,-1.071631122613325715e-04,1.202037674374878407e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.348653470000000298e+07,4.771624160000000149e+07,-3.661222569999999553e+07,4.276458913463644929e-01,2.752650467085951957e-01,-8.610157638946503988e-01,4.017766914330422878e-04,-1.071631122613325715e-04,1.202037674374878407e-03,9.000000000000000000e+00,0.000000000000000000e+00
4.348334919999999553e+07,4.772962069999999553e+07,-3.660649179999999702e+07,4.107947649275456303e-01,2.725997978762346174e-01,-8.700212706054711864e-01,4.017766914330422878e-04,-1.071631122613325715e-04,1.202037674374878407e-03,9.000000000000000000e+00,0.000000000000000000e+00
