"vg_dBN_dL","Normals:0","Normals:1","Normals:2","vg_J_magnitude","conn_component","RegionId","Points:0","Points:1","Points:2"
3.426e-07,-0.64442,0.64032,-0.36382,1.3093e-09,153,23,5.2379,-8.4745,-5.1104
4.1649e-07,-0.76667,-0.13597,0.62112,1.5447e-09,154,24,9.6747,2.3132,-5.1353
4.2119e-07,-0.76469,-0.14667,0.61951,1.5322e-09,154,24,9.6822,2.2987,-5.13
4.138e-07,-0.76562,-0.13009,0.6228,1.5635e-09,154,24,9.6686,2.3179,-5.1414
3.2377e-07,0.84447,-0.38048,-0.37694,1.5437e-08,161,25,8.605,-6.0651,-3.4012
3.3887e-07,0.85356,-0.35983,-0.37573,1.5773e-08,161,25,8.632,-5.9091,-3.4864
3.2367e-07,0.84437,-0.3807,-0.37694,1.5434e-08,161,25,8.6047,-6.0667,-3.4004
3.3677e-07,0.86221,-0.34687,-0.36903,1.5937e-08,161,25,8.6654,-5.7856,-3.5253
3.2287e-07,0.84419,-0.38123,-0.37682,1.5428e-08,161,25,8.6043,-6.0705,-3.3974
3.5344e-07,0.85831,-0.35102,-0.37417,1.6405e-08,161,25,8.6794,-5.7524,-3.5238
2.8177e-07,0.842,-0.39632,-0.36597,1.5313e-08,161,25,8.5893,-6.2243,-3.2686
3.5394e-07,0.85556,-0.35247,-0.37881,1.6418e-08,161,25,8.6798,-5.7515,-3.5237
2.7232e-07,0.84522,-0.39584,-0.359,1.5282e-08,161,25,8.5871,-6.2528,-3.243
4.069e-07,0.83994,-0.37118,-0.39588,1.7966e-08,161,25,8.729,-5.662,-3.4927
2.436e-07,0.84112,-0.40604,-0.35722,1.5296e-08,161,25,8.5806,-6.3325,-3.165
4.0702e-07,0.83435,-0.38106,-0.3982,1.7988e-08,161,25,8.7298,-5.6606,-3.4923
2.2486e-07,0.83912,-0.41361,-0.35321,1.5283e-08,161,25,8.5771,-6.3818,-3.1165
3.9443e-07,0.83686,-0.38106,-0.39268,1.774e-08,161,25,8.7542,-5.594,-3.5052
2.1065e-07,0.84661,-0.41055,-0.33854,1.5245e-08,161,25,8.5751,-6.4132,-3.0848
3.6824e-07,0.84697,-0.36577,-0.38578,1.7085e-08,161,25,8.8016,-5.4843,-3.5113
1.5282e-07,0.83864,-0.42823,-0.33659,1.5308e-08,161,25,8.5729,-6.5256,-2.9446
3.9134e-07,0.84788,-0.36588,-0.38362,1.7484e-08,161,25,8.8235,-5.4364,-3.5048
1.456e-07,0.82957,-0.44394,-0.33863,1.5308e-08,161,25,8.5728,-6.5394,-2.9273
4.3925e-07,0.84952,-0.36209,-0.38356,1.8166e-08,161,25,8.8644,-5.3394,-3.4986
1.4529e-07,0.8309,-0.44318,-0.33618,1.5307e-08,161,25,8.5728,-6.54,-2.9266
4.4259e-07,0.84334,-0.36802,-0.39137,1.8374e-08,161,25,8.8731,-5.3227,-3.4964
1.4342e-07,0.82827,-0.44661,-0.33833,1.5298e-08,161,25,8.5731,-6.542,-2.9231
4.523e-07,0.83373,-0.37869,-0.40183,1.8745e-08,161,25,8.8886,-5.2917,-3.4928
5.569e-08,0.84943,-0.43555,-0.29774,1.4903e-08,161,25,8.5847,-6.6318,-2.7685
4.5105e-07,0.83519,-0.3769,-0.40037,1.8661e-08,161,25,8.8937,-5.2788,-3.4946
4.5337e-08,0.84833,-0.44021,-0.29375,1.4881e-08,161,25,8.5916,-6.6462,-2.7261
4.3435e-07,0.8472,-0.36051,-0.39008,1.7922e-08,161,25,8.936,-5.1767,-3.5037
1.4163e-08,0.84998,-0.44841,-0.27636,1.4555e-08,161,25,8.6091,-6.6871,-2.6202
4.4077e-07,0.85218,-0.35362,-0.38518,1.7965e-08,161,25,8.958,-5.1212,-3.5021
1.0323e-08,0.85085,-0.44796,-0.27422,1.457e-08,161,25,8.6108,-6.6897,-2.6102
4.4361e-07,0.86114,-0.34363,-0.37452,1.7899e-08,161,25,8.9966,-5.0328,-3.49
4.6962e-07,0.85185,-0.35321,-0.3865,1.8441e-08,161,25,9.0188,-4.9836,-3.486
4.8151e-07,0.84302,-0.3611,-0.39803,1.864e-08,161,25,9.0275,-4.9637,-3.4845
4.973e-07,0.83483,-0.36985,-0.40774,1.9145e-08,161,25,9.0473,-4.9225,-3.4781
4.9611e-07,0.83255,-0.37257,-0.4099,1.9065e-08,161,25,9.0515,-4.9138,-3.478
4.9113e-07,0.83481,-0.3728,-0.40494,1.8856e-08,161,25,9.0641,-4.888,-3.4772
4.5222e-07,0.84849,-0.35864,-0.38796,1.8324e-08,161,25,9.1028,-4.8061,-3.4659
4.2552e-07,0.85824,-0.34936,-0.37586,1.7879e-08,161,25,9.13,-4.7468,-3.4608
4.5651e-07,0.85161,-0.35921,-0.38168,1.8756e-08,161,25,9.1746,-4.6485,-3.4478
4.7254e-07,0.84999,-0.3617,-0.38294,1.9087e-08,161,25,9.1931,-4.6068,-3.4431
4.6765e-07,0.84049,-0.3716,-0.39425,1.9289e-08,161,25,9.202,-4.5918,-3.4388
4.6651e-07,0.8378,-0.37527,-0.39654,1.9377e-08,161,25,9.206,-4.5847,-3.4368
4.0234e-07,0.85049,-0.36199,-0.38135,1.841e-08,161,25,9.2531,-4.4909,-3.4264
3.8637e-07,0.85323,-0.3587,-0.37855,1.8175e-08,161,25,9.2645,-4.4674,-3.4249
3.8872e-07,0.85873,-0.3535,-0.37086,1.8256e-08,161,25,9.2934,-4.4174,-3.4012
3.8463e-07,0.86503,-0.34752,-0.3618,1.8353e-08,161,25,9.3259,-4.3617,-3.3728
3.8588e-07,0.86138,-0.35184,-0.36623,1.851e-08,161,25,9.3334,-4.3471,-3.3696
3.8922e-07,0.85587,-0.35801,-0.37272,1.8662e-08,161,25,9.3403,-4.3334,-3.3665
3.9348e-07,0.8437,-0.37224,-0.38678,1.9195e-08,161,25,9.3647,-4.2873,-3.3546
3.7983e-07,0.84373,-0.37312,-0.38586,1.8925e-08,161,25,9.3776,-4.2657,-3.3487
3.5586e-07,0.84732,-0.3708,-0.38012,1.8553e-08,161,25,9.3954,-4.2388,-3.338
2.4756e-07,0.87008,-0.34756,-0.34906,1.7859e-08,161,25,9.4518,-4.1758,-3.2611
2.3368e-07,0.87295,-0.34477,-0.34508,1.7765e-08,161,25,9.4591,-4.1676,-3.2513
2.4096e-07,0.87188,-0.34694,-0.34555,1.7935e-08,161,25,9.4679,-4.1538,-3.243
2.545e-07,0.86703,-0.35954,-0.34476,1.8841e-08,161,25,9.5204,-4.0808,-3.1802
2.4991e-07,0.86228,-0.36589,-0.35007,1.8866e-08,161,25,9.5222,-4.0797,-3.177
2.4715e-07,0.85914,-0.37261,-0.35074,1.889e-08,161,25,9.5235,-4.0789,-3.1748
9.1983e-08,0.86871,-0.36302,-0.33679,1.7858e-08,161,25,9.5635,-4.0739,-3.0848
8.6209e-08,0.87008,-0.36321,-0.33309,1.783e-08,161,25,9.5644,-4.0754,-3.0806
2.3414e-07,0.91776,-0.33978,-0.20273,1.0789e-08,162,26,6.9199,-9,-2.8242
2.3414e-07,0.92788,-0.33065,-0.16186,1.0789e-08,162,26,6.9199,-8.9031,-2.8242
2.1105e-07,0.54921,-0.73967,-0.21351,1.1159e-08,162,26,6.9574,-8.8652,-2.8084
2.0731e-07,0.42823,-0.87861,-0.21061,1.1358e-08,162,26,6.9839,-8.838,-2.7948
2.0731e-07,0.40927,-0.86354,-0.29329,1.1358e-08,162,26,7.1161,-8.838,-2.7948
2.0731e-07,0.40205,-0.8703,-0.27855,1.1358e-08,162,26,7.1426,-8.838,-2.7948
2.0823e-07,0.48165,-0.78415,-0.28732,1.1319e-08,162,26,7.1455,-8.8359,-2.7929
2.7078e-07,0.91415,-0.34633,-0.21069,9.9053e-09,162,26,7.2339,-8.7455,-2.7689
2.7078e-07,0.91418,-0.34622,-0.21073,9.9053e-09,162,26,7.2339,-8.745,-2.7689
2.7078e-07,0.92232,-0.34798,-0.16801,9.9053e-09,162,26,7.2339,-8.5879,-2.7689
2.7062e-07,0.9223,-0.34806,-0.16797,9.9028e-09,162,26,7.2342,-8.5876,-2.7688
2.7084e-07,0.91619,-0.35478,-0.16868,9.9157e-09,162,26,7.235,-8.5867,-2.7685
2.7084e-07,0.91624,-0.35479,-0.16855,9.9157e-09,162,26,7.235,-8.5867,-2.7664
2.7084e-07,0.92128,-0.31612,-0.21097,9.9157e-09,162,26,7.235,-8.5867,-2.6102
2.7171e-07,0.45264,-0.86606,-0.2115,1.1268e-08,162,26,7.3013,-8.5112,-2.577
2.7171e-07,0.45199,-0.86175,-0.22934,1.1268e-08,162,26,7.3347,-8.5112,-2.577
2.7171e-07,0.42903,-0.8864,-0.16488,1.1268e-08,162,26,7.4601,-8.5112,-2.577
2.4831e-07,0.78935,-0.47868,-0.18764,1.1006e-08,162,26,7.4978,-8.4712,-2.5646
2.5796e-07,0.93434,-0.32039,-0.156,1.0501e-08,162,26,7.5336,-8.4303,-2.5484
2.5796e-07,0.94338,-0.29098,-0.15805,1.0501e-08,162,26,7.5336,-8.3343,-2.5484
2.5796e-07,0.94293,-0.29637,-0.14904,1.0501e-08,162,26,7.5336,-8.2728,-2.5484
2.3216e-07,0.93269,-0.32354,-0.15724,1.1262e-08,162,26,7.586,-8.2034,-2.5217
2.3767e-07,0.60021,-0.70004,-0.20396,1.1875e-08,162,26,7.6167,-8.1714,-2.4991
2.3845e-07,0.4733,-0.72508,-0.38173,1.1982e-08,162,26,7.6188,-8.1701,-2.496
2.3845e-07,0.40311,-0.74055,-0.44144,1.1982e-08,162,26,7.7277,-8.1701,-2.496
2.3845e-07,0.44781,-0.72561,-0.41388,1.1982e-08,162,26,7.7775,-8.1701,-2.496
2.3008e-07,0.86461,-0.40539,-0.22612,1.12e-08,162,26,7.8281,-8.1152,-2.4705
2.1509e-07,0.91424,-0.34139,-0.20275,1.1741e-08,162,26,7.8434,-8.0347,-2.452
2.2164e-07,0.92424,-0.31104,-0.21042,1.2183e-08,162,26,7.8473,-8.0105,-2.399
2.1127e-07,0.89093,-0.3989,-0.2162,1.3429e-08,162,26,7.8668,-7.9666,-2.2939
2.0888e-07,0.88968,-0.40015,-0.21975,1.3514e-08,162,26,7.8684,-7.9594,-2.292
2.1015e-07,0.88956,-0.40008,-0.22051,1.3572e-08,162,26,7.8697,-7.9576,-2.2896
2.1107e-07,0.88571,-0.40636,-0.22132,1.3598e-08,162,26,7.8709,-7.9567,-2.2879
2.5084e-07,0.79255,-0.55901,-0.24348,1.4892e-08,162,26,7.9362,-7.8979,-2.2219
2.5786e-07,0.78043,-0.57393,-0.24757,1.4863e-08,162,26,7.9578,-7.8793,-2.1994
2.6119e-07,0.78179,-0.57768,-0.23457,1.4684e-08,162,26,8.0096,-7.8366,-2.1357
2.5802e-07,0.78304,-0.57572,-0.23483,1.467e-08,162,26,8.0202,-7.827,-2.1252
2.551e-07,0.78008,-0.58029,-0.23392,1.4571e-08,162,26,8.0293,-7.8194,-2.1162
2.5075e-07,0.78516,-0.57562,-0.22802,1.4747e-08,162,26,8.0518,-7.8,-2.0833
2.502e-07,0.78013,-0.58372,-0.22487,1.4824e-08,162,26,8.0614,-7.7922,-2.0698
2.4794e-07,0.77947,-0.58566,-0.22195,1.5108e-08,162,26,8.0949,-7.7636,-2.0245
2.4565e-07,0.78154,-0.5846,-0.21764,1.5071e-08,162,26,8.107,-7.754,-2.0084
2.4367e-07,0.78352,-0.5841,-0.21188,1.4968e-08,162,26,8.13,-7.7344,-1.9775
2.4089e-07,0.78663,-0.57859,-0.21536,1.49e-08,162,26,8.1498,-7.7168,-1.9526
2.4108e-07,0.7877,-0.57939,-0.20936,1.4564e-08,162,26,8.1732,-7.6991,-1.9206
2.2074e-07,0.80045,-0.56647,-0.19584,1.4975e-08,162,26,8.232,-7.6503,-1.8193
2.1863e-07,0.80114,-0.56595,-0.19463,1.4966e-08,162,26,8.2354,-7.6471,-1.8146
2.2095e-07,0.80106,-0.566,-0.19481,1.4979e-08,162,26,8.2385,-7.6445,-1.8092
2.2164e-07,0.79993,-0.56719,-0.19592,1.504e-08,162,26,8.2409,-7.6425,-1.8051
2.2437e-07,0.79398,-0.57578,-0.19508,1.517e-08,162,26,8.2537,-7.6314,-1.7859
2.3189e-07,0.79841,-0.56918,-0.19606,1.5056e-08,162,26,8.2718,-7.6131,-1.7642
2.5045e-07,0.80382,-0.56502,-0.18578,1.4518e-08,162,26,8.3058,-7.5828,-1.721
2.2834e-07,0.82083,-0.5437,-0.17348,1.4655e-08,162,26,8.3546,-7.527,-1.6611
2.1797e-07,0.82711,-0.53642,-0.16751,1.459e-08,162,26,8.3738,-7.5044,-1.6415
2.1936e-07,0.82681,-0.53596,-0.17061,1.4844e-08,162,26,8.3929,-7.4857,-1.6058
2.1923e-07,0.82479,-0.53855,-0.17199,1.4867e-08,162,26,8.3936,-7.4849,-1.6044
2.2053e-07,0.81835,-0.54777,-0.17387,1.5111e-08,162,26,8.4124,-7.4652,-1.5759
2.3051e-07,0.8241,-0.53848,-0.17483,1.492e-08,162,26,8.4327,-7.4425,-1.5503
2.3195e-07,0.818,-0.54724,-0.17541,1.4877e-08,162,26,8.4349,-7.4405,-1.5474
2.3263e-07,0.83974,-0.51897,-0.15694,1.4426e-08,162,26,8.4929,-7.3622,-1.5029
2.3791e-07,0.8467,-0.51,-0.15127,1.4227e-08,162,26,8.51,-7.3398,-1.4903
2.3092e-07,0.84905,-0.50662,-0.1498,1.4265e-08,162,26,8.5186,-7.3273,-1.4822
2.3254e-07,0.84821,-0.50789,-0.1503,1.4336e-08,162,26,8.5241,-7.3192,-1.4777
2.4056e-07,0.84603,-0.50953,-0.15671,1.4951e-08,162,26,8.5711,-7.2517,-1.4265
2.4379e-07,0.84962,-0.50412,-0.15462,1.4755e-08,162,26,8.587,-7.2314,-1.4116
2.4699e-07,0.86365,-0.48164,-0.14824,1.4254e-08,162,26,8.63,-7.1697,-1.3841
