x,y,z
63478812,-28452000.0,-5955359.0
63523908,-28222582.0,-6226000.0
63540932,-28004762.0,-6673237.5
63579676,-27675506.0,-7226000.0
63609128,-27452000.0,-7563169.5
63712968,-26872846.0,-8226000.0
63740368,-26452000.0,-8980609.0
63854760,-26451572.0,-8226000.0
63854740,-26452000.0,-8225052.5
63854796,-26651678.0,-7749182.0
63733180,-27225614.0,-7226000.0
63761416,-27334398.0,-6695001.0
63836104,-27284852.0,-6226000.0
63827000,-27452000.0,-5784078.5
63848724,-27550528.0,-5307495.0
63825740,-27648162.0,-5226000.0
63855000,-27692012.0,-4792746.5
63857932,-27839274.0,-4289775.0
63872364,-27823772.0,-4226000.0
63918384,-27875542.0,-3595591.5
64044360,-27653374.0,-3226000.0
64071612,-27628194.0,-3027048.5
64153544,-27452000.0,-2863906.5
64187408,-27273454.0,-3226000.0
64239528,-27024388.0,-3653613.0
64300312,-26703436.0,-4226000.0
64355424,-26452000.0,-4610542.0
64416600,-26094010.0,-5226000.0
64468896,-25717472.0,-5960528.0
64488656,-25573238.0,-6226000.0
64509748,-25452000.0,-6410804.5
64646056,-24753344.0,-7226000.0
64673752,-24452000.0,-7803193.5
64779028,-24353942.0,-7226000.0
64775028,-24452000.0,-6966591.0
64793272,-24457128.0,-6790823.5
64624548,-25167164.0,-6226000.0
64676456,-25152118.0,-5777452.0
64810744,-24916192.0,-5226000.0
64855000,-24912936.0,-4743246.5
64875776,-24964208.0,-4371876.0
64910628,-24918068.0,-4226000.0
64964468,-24916280.0,-3664482.0
65094200,-24685954.0,-3226000.0
65071388,-24803340.0,-2910789.2
64859572,-25452000.0,-2277865.8
64861124,-25459372.0,-2226000.0
64861284,-25513968.0,-1906954.4
64930008,-25452000.0,-1285210.4
65074576,-24913068.0,-2226000.0
65213884,-24452000.0,-2842463.5
65263044,-24230564.0,-3226000.0
65327904,-23928820.0,-3749179.2
65378080,-23671262.0,-4226000.0
65427804,-23452000.0,-4546550.5
65495792,-23051638.0,-5226000.0
65551580,-22630102.0,-6047897.5
65564564,-22533256.0,-6226000.0
65578260,-22452000.0,-6343976.5
65712176,-21668656.0,-7226000.0
65734096,-21452000.0,-7570568.0
65790364,-21396822.0,-7226000.0
65789192,-21452000.0,-7095375.0
65798336,-21479784.0,-6936292.5
65634360,-22303046.0,-6226000.0
65656532,-22308372.0,-5977305.0
65802852,-22050124.0,-5226000.0
65855000,-22083846.0,-4455996.5
65865196,-22103426.0,-4287867.5
65878324,-22084948.0,-4226000.0
65937276,-22086090.0,-3538139.0
66010504,-21954360.0,-3226000.0
65978556,-22090448.0,-2962574.5
65871720,-22452000.0,-2604962.8
65882780,-22499054.0,-2226000.0
65883392,-22559646.0,-1828603.5
65943668,-22501104.0,-1226000.0
65947836,-22508058.0,-1083209.2
65987292,-22452000.0,-695508.25
66069820,-22143594.0,-1226000.0
66265608,-21452000.0,-2090422.5
66289868,-21343678.0,-2226000.0
66371772,-20945560.0,-2732440.0
66451620,-20557938.0,-3226000.0
66472080,-20452000.0,-3360791.0
66580680,-19725502.0,-4226000.0
66605412,-19452000.0,-4683226.0
66639976,-19039886.0,-5226000.0
66636404,-18653852.0,-6024149.0
66642824,-18521794.0,-6226000.0
66644820,-18452000.0,-6335806.0
66660196,-17782288.0,-7226000.0
66674276,-17452000.0,-7565225.5
66724520,-16521902.0,-8226000.0
66729100,-16452000.0,-8264818.0
66733672,-16395086.0,-8282914.0
66738092,-16420010.0,-8226000.0
66737008,-16452000.0,-8201526.0
66739196,-16452829.0,-8182910.5
66746480,-17221286.0,-7226000.0
66741092,-17414324.0,-7028724.5
66833796,-17396670.0,-6226000.0
66832056,-17452000.0,-6164060.0
66835760,-17614170.0,-5870557.0
66787932,-18278460.0,-5226000.0
66786812,-18449594.0,-4918194.0
66854192,-18448400.0,-4226000.0
66854144,-18452000.0,-4219011.0
66854512,-18733070.0,-3551553.2
66816196,-19043118.0,-3226000.0
66829748,-19252880.0,-2420564.5
66847852,-19235544.0,-2226000.0
66845848,-19452000.0,-1450873.0
66855000,-19459038.0,-1275912.9
66856860,-19466402.0,-1226000.0
66857572,-19589370.0,-589633.5
66896168,-19553770.0,-226000.0
66908092,-19565224.0,92358.039
66977464,-19452000.0,659064.69
67074068,-18958654.0,-226000.0
67183224,-18452000.0,-844235.25
67209848,-18220780.0,-1226000.0
67307400,-17452000.0,-2172161.8
67311528,-17403112.0,-2226000.0
67387368,-16452000.0,-3179793.2
67390312,-16401485.0,-3226000.0
67440456,-15452000.0,-4045778.8
67449408,-15246227.0,-4226000.0
67481360,-14452000.0,-4871518.5
67502880,-13994887.0,-5226000.0
67527200,-13452000.0,-5617166.5
67584136,-12523310.0,-6154689.5
67588208,-12452000.0,-6199628.5
67591368,-12399832.0,-6226000.0
67647920,-11452000.0,-6673897.5
67684056,-10726258.0,-6951742.0
67697912,-10452000.0,-7058440.5
67710032,-10006203.0,-7226000.0
67724192,-9452000.0,-7427209.5
67727608,-9174867.0,-7503133.0
67751032,-8452000.0,-7599492.5
67748472,-7956268.0,-7721732.0
67760648,-7452000.0,-7737731.0
67756808,-6849480.5,-7828519.5
67779928,-6452000.0,-7694717.5
67786640,-6018033.0,-7659967.0
67845480,-5825699.0,-7226000.0
67851952,-6095665.0,-7165542.0
67855000,-6301153.0,-7135330.5
67879568,-6276103.5,-6972697.0
67992792,-6234817.5,-6226000.0
68096808,-6306934.5,-5371065.5
68114584,-6340113.0,-5226000.0
68212392,-6376084.0,-4301916.0
68220648,-6348305.5,-4226000.0
68288448,-6171556.5,-3506443.5
68316792,-5563972.0,-3226000.0
68320568,-5496999.5,-3181000.5
68320552,-5452000.0,-3183500.0
68339912,-4682398.5,-2995601.5
68342864,-4452000.0,-2977876.8
68359784,-3840649.8,-2837350.2
68378848,-3452000.0,-2650389.8
68392096,-3156872.8,-2521127.2
68418664,-2846868.0,-2226000.0
68436928,-2693783.2,-1984216.8
68469688,-2452000.0,-1543320.5
68481656,-2306128.0,-1371872.1
68490896,-2008408.9,-1226000.0
68503992,-1671796.6,-1006203.3
68502632,-1452000.0,-1011802.9
68474928,-489165.69,-1188834.2
68473232,-452000.0,-1204610.9
68468576,-342693.09,-1226000.0
68428712,548000.0,-1400513.1
68422088,718458.94,-1396458.9
68391472,1548000.0,-1370389.0
68386840,1676681.8,-1354681.8
68376352,2113165.2,-1226000.0
68365128,2468002.5,-1146002.4
68363352,2548000.0,-1118686.0
68336056,3274333.5,-952333.62
68328456,3548000.0,-855681.5
68296984,4138691.8,-816691.62
68278816,4548000.0,-739011.88
68240640,5109002.0,-787001.81
68212312,5548000.0,-810172.56
68147624,6312343.5,-990343.38
68128408,6548000.0,-1045234.2
68082152,6965901.0,-1226000.0
68003448,7548000.0,-1557923.4
67938928,8005447.5,-1768552.6
67868024,8376580.5,-2063996.5
67855000,8392997.0,-2173143.5
67839264,8542810.0,-2226000.0
67838928,8543317.0,-2229529.0
67838840,8544077.0,-2229923.2
67837536,8548000.0,-2241761.2
67718032,9112194.0,-3226000.0
67659416,9201031.0,-3879031.0
67630024,9165508.0,-4226000.0
67600296,9011231.0,-4689231.0
67629208,8548000.0,-4600126.0
67628600,8206407.0,-4884407.0
67646560,7548000.0,-5172560.5
67646000,7521624.5,-5199624.5
67648456,7459806.5,-5226000.0
67667512,6848624.0,-5526624.0
67670056,6548000.0,-5725852.5
67657944,6326150.5,-6004150.5
67665136,5948059.0,-6226000.0
67659320,5749340.0,-6427340.0
67660280,5548000.0,-6555918.5
67628544,5307376.0,-6985376.0
67618440,5063729.5,-7226000.0
67478328,5548000.0,-8108507.5
67436680,5986569.0,-8226000.0
67396896,6548000.0,-8268114.0
67395464,6588133.5,-8266133.5
67359704,7336408.5,-8226000.0
67352136,7525116.0,-8203116.0
67350320,7548000.0,-8205664.0
67339936,8312504.5,-7990504.5
67333320,8548000.0,-7933522.5
67340224,9005878.0,-7683878.0
67355656,9548000.0,-7334891.0
67358776,9604193.0,-7282192.5
67363712,9645347.0,-7226000.0
67419560,9812217.0,-6490217.0
67440008,9896341.0,-6226000.0
67504120,9782901.0,-5460901.0
67520496,9856903.0,-5226000.0
67589336,9740853.0,-4418852.5
67595432,10012223.0,-4226000.0
67628552,10105454.0,-3783454.0
67610976,10548000.0,-3775925.2
67639208,10662211.0,-3340211.2
67643672,10768397.0,-3226000.0
67670184,11050509.0,-2728508.8
67676240,11548000.0,-2320471.5
67679344,11573925.0,-2251924.8
67680072,11590814.0,-2226000.0
67698672,11955209.0,-1633208.8
67701736,12346189.0,-1226000.0
67702720,12444815.0,-1122814.9
67700160,12548000.0,-1070404.0
67695440,12914614.0,-592613.56
67683896,13278501.0,-226000.0
67678680,13415924.0,-93924.32
67671192,13548000.0,-8560.8271
67616688,14050004.0,271996.31
67555640,14548000.0,402919.0
67477304,15052296.0,269703.91
67397096,15548000.0,93941.469
67319160,16271113.0,-226000.0
67289904,16548000.0,-360332.66
67280856,16717789.0,-395789.25
67241792,17548000.0,-478670.66
67227464,17815204.0,-493203.03
67200960,18548000.0,-244337.03
67199272,18567512.0,-245512.47
67196792,18603988.0,-226000.0
67145680,19246984.0,75016.57
67134376,19424162.0,774000.0
67131624,19438016.0,883983.69
67116368,19418736.0,1774000.0
67112568,19416504.0,1905496.6
67082928,19548000.0,2330732.5
67047596,19714348.0,2607652.8
66958788,20244230.0,2774000.0
66917504,20494730.0,2827269.8
66905332,20548000.0,2873877.2
66855000,20763900.0,2942488.2
66853492,20782012.0,2913346.2
66786140,21043842.0,3278157.0
66671496,21548000.0,3656195.2
66654964,21617770.0,3704229.2
66645236,21644160.0,3774000.0
66511936,22151436.0,4170563.8
66383412,22548000.0,4706229.0
66371824,22603802.0,4718198.0
66339848,22750080.0,4774000.0
66202456,23409746.0,4912253.5
66176284,23548000.0,4926478.5
66013656,24533550.0,4788451.0
66011424,24548000.0,4784764.5
66003136,24590906.0,4774000.0
65855000,25372898.0,4493870.5
65839644,25343606.0,4774000.0
65725716,25548000.0,5513682.0
65674392,25715656.0,5606343.0
65614984,25860334.0,5774000.0
65467096,26274104.0,6047895.5
65367520,26548000.0,6162764.5
65149872,27257242.0,6064759.0
65065336,27548000.0,5974380.5
64926084,28017510.0,5774000.0
64855000,28258660.0,5642826.5
64843716,28243872.0,5774000.0
64635452,28548000.0,6536179.5
64558616,28755318.0,6566682.5
64256052,29548000.0,6719845.0
64228188,29627568.0,6694433.0
64106760,29907590.0,6736667.5
63855000,30541618.0,6687415.0
63850972,30548000.0,6699725.5
63846180,30669892.0,6396878.0
63786132,30775782.0,6546218.0
63509756,31548000.0,6475664.5
63382748,31862984.0,6459015.5
63088008,32548000.0,6446717.5
62938968,32928288.0,6232591.0
62855000,33138518.0,6109618.5
62758208,33356328.0,6129931.0
62655076,33548000.0,6268087.0
62431536,34062492.0,6259508.5
62209896,34548000.0,6258856.0
61875448,35321524.0,5849359.0
61855000,35366012.0,5831319.0
61839796,35395172.0,5838875.0
61725508,35548000.0,6090096.5
61411000,36205536.0,6116466.0
61245200,36548000.0,6124737.5
60902556,37288192.0,5774000.0
60855000,37388240.0,5727931.5
60842016,37401372.0,5774000.0
60724288,37548000.0,6064030.0
60380184,38278300.0,6043701.0
